annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2020648;19/11/2020;soir;19/01/2021;1;2;3;4;15;17;18;27;30;31;34;43;47;51;53;54;57;58;63;66;3;0 839 997;eur;
2020647;19/11/2020;midi;19/01/2021;4;20;21;23;26;27;32;33;34;35;38;42;47;50;57;60;62;63;64;70;5;7 943 023;eur;
2020646;18/11/2020;soir;18/01/2021;2;6;7;10;13;16;22;26;33;39;41;44;47;52;59;61;64;66;67;68;3;1 573 389;eur;
2020645;18/11/2020;midi;18/01/2021;2;6;7;9;21;22;23;24;31;33;34;42;45;47;52;53;54;56;65;70;2;3 254 166;eur;
2020644;17/11/2020;soir;17/01/2021;5;6;7;13;20;21;34;37;39;43;44;50;51;56;57;61;63;68;69;70;2;8 637 819;eur;
2020643;17/11/2020;midi;17/01/2021;4;7;8;10;11;12;15;24;25;26;31;39;41;47;49;50;51;60;63;67;5;3 871 060;eur;
2020642;16/11/2020;soir;16/01/2021;1;4;5;7;8;12;14;16;21;25;27;47;48;50;54;55;59;60;64;68;2;0 305 012;eur;
2020641;16/11/2020;midi;16/01/2021;9;11;13;14;17;21;32;33;37;40;42;43;47;48;49;50;55;58;63;69;2;4 724 280;eur;
2020640;15/11/2020;soir;15/01/2021;5;8;15;17;20;35;37;39;43;44;45;51;52;57;60;63;65;67;69;70;2;7 862 617;eur;
2020639;15/11/2020;midi;15/01/2021;1;8;18;19;20;23;29;30;34;36;39;47;49;50;51;52;54;55;58;61;3;3 656 814;eur;
2020638;14/11/2020;soir;14/01/2021;1;3;4;12;13;14;16;18;20;23;29;32;36;42;52;60;61;64;66;68;2;0 907 117;eur;
2020637;14/11/2020;midi;14/01/2021;1;5;8;11;13;14;20;23;29;33;35;39;44;48;50;53;58;61;65;69;2;9 540 554;eur;
2020636;13/11/2020;soir;13/01/2021;2;10;15;19;22;23;25;34;35;39;42;47;51;54;56;57;61;63;66;67;3;0 973 006;eur;
2020635;13/11/2020;midi;13/01/2021;3;6;8;9;10;13;15;20;24;26;31;33;34;35;39;44;58;65;66;68;2;8 879 211;eur;
2020634;12/11/2020;soir;12/01/2021;3;5;9;10;12;16;17;20;21;24;27;29;32;41;49;54;55;57;63;64;2;2 431 646;eur;
2020633;12/11/2020;midi;12/01/2021;1;8;13;19;20;21;29;31;46;47;48;49;55;60;63;64;65;66;68;69;2;6 499 321;eur;
2020632;11/11/2020;soir;11/01/2021;6;11;17;18;25;27;28;33;35;36;38;43;46;48;49;50;56;65;66;67;3;2 653 244;eur;
2020631;11/11/2020;midi;11/01/2021;1;3;5;7;12;13;23;24;25;26;28;34;40;42;50;54;57;60;63;68;3;6 761 321;eur;
2020630;10/11/2020;soir;10/01/2021;3;6;8;14;16;22;25;27;30;35;36;38;49;50;53;55;57;59;61;63;2;6 188 302;eur;
2020629;10/11/2020;midi;10/01/2021;2;5;6;7;28;29;31;36;42;46;50;55;56;57;58;59;64;66;68;69;5;9 536 000;eur;
2020628;09/11/2020;soir;09/01/2021;2;4;7;8;14;24;25;31;35;38;41;42;43;44;47;48;51;54;55;61;2;9 432 989;eur;
2020627;09/11/2020;midi;09/01/2021;9;10;14;15;21;26;30;34;36;38;39;44;45;51;58;59;60;61;64;67;2;6 763 392;eur;
2020626;08/11/2020;soir;08/01/2021;7;11;16;17;20;23;25;38;39;41;44;51;54;57;58;59;60;61;66;69;3;0 262 632;eur;
2020625;08/11/2020;midi;08/01/2021;3;4;7;10;11;13;17;18;19;30;31;33;37;39;40;49;51;59;68;69;2;2 596 115;eur;
2020624;07/11/2020;soir;07/01/2021;1;3;5;7;22;23;25;27;35;43;46;50;51;52;59;61;64;65;68;69;5;1 111 648;eur;
2020623;07/11/2020;midi;07/01/2021;5;11;13;19;21;23;26;29;37;39;43;44;46;51;53;55;59;62;66;68;2;7 560 844;eur;
